vol_z,vol_5bar_slope,vol_ratio,atr_pts,atr_ratio,atr_5bar_roc,rsi_level,rsi_3bar_slope,rsi_5bar_slope,ema20_3bar_slope,ema20_5bar_slope,body_ratio,close_pos,price_5bar_mom,spread,hour,day_of_week,target
1.041,0.0889,1.014,287.3,0.935,0.0157,46.06,-4.544,0.929,-1.58,-2.43,0.617,0.344,0.024,15,10,0,1
0.467,-0.0019,0.942,450.5,1.212,0.1333,45.39,1.895,13.311,-3.27,-5.7,0.041,0.432,0.988,0,15,0,1
1.285,0.0033,1.004,574.6,1.27,0.2123,31.5,-14.906,-2.215,-5.43,-9.09,0.194,0.311,-1.34,11,17,1,0
1.69,0.0564,1.174,246.9,1.094,0.0971,41.52,-9.807,2.949,-1.78,-2.95,0.814,0.069,-0.186,15,11,2,0
2.508,0.0152,1.278,365.8,1.22,0.1321,41.79,-8.655,-1.979,-0.48,-0.52,0.419,0.424,-0.355,14,16,2,1
0.406,0.1116,1.401,246.2,0.839,-0.058,61.24,-5.748,-4.756,3.16,5.53,0.365,0.766,-0.085,8,8,3,0
0.708,0.0108,1.06,243.4,0.881,-0.0354,55.19,-2.781,-5.267,2.44,4.84,0.665,0.851,-0.419,15,9,3,0
0.636,-0.0023,0.963,256.3,0.975,0.0435,54.22,4.96,2.7,2.17,4.49,0.436,0.578,0.445,15,10,3,1
0.515,0.0128,0.837,413.4,1.3,0.2874,49.2,-8.277,-18.096,2.98,5.36,0.09,0.441,-1.79,14,15,3,1
0.446,0.0967,1.259,254.2,1.004,0.0201,37.22,0.086,-2.375,-1.26,-2.13,0.373,0.627,-0.724,15,9,4,0
0.502,-0.0327,1.004,273.8,1.063,0.0509,39.79,-7.266,-1.882,-0.8,-1.49,0.471,0.003,-0.424,15,13,4,0
0.186,-0.1559,0.774,443.5,1.298,0.1057,46.0,-1.911,10.521,-0.33,-0.07,0.058,0.121,1.123,15,17,4,1
1.287,0.0187,1.139,218.3,1.135,0.1355,56.63,16.72,2.914,-0.4,-0.98,0.545,0.66,0.353,15,13,0,0
0.639,-0.0368,0.942,232.8,1.154,0.0853,54.74,4.465,2.791,-0.43,-0.77,0.521,0.739,0.387,15,14,0,0
2.917,0.1418,1.465,283.3,1.238,0.1906,54.56,7.328,11.026,-0.03,-0.32,0.907,0.907,0.858,15,16,0,1
0.345,0.0136,1.032,189.7,0.941,0.0214,53.74,-7.568,-3.084,0.77,1.61,0.702,0.291,0.037,15,9,1,1
0.347,-0.0175,1.246,246.2,1.055,0.0054,38.75,-3.103,-6.345,-1.47,-2.25,0.846,0.042,-1.284,15,14,1,0
2.102,0.1677,1.251,274.6,1.093,0.1079,41.75,-3.027,-3.188,-1.35,-2.46,0.436,0.499,-0.495,15,16,1,1
0.103,-0.0783,0.823,308.5,1.163,0.0678,56.49,-1.564,-8.189,1.88,3.44,0.15,0.185,-0.7,15,17,2,0
0.937,0.1647,1.307,208.2,1.048,0.1039,55.14,11.813,10.309,0.74,1.39,0.775,0.914,1.076,15,9,3,0
1.567,-0.025,1.07,383.3,1.428,0.2912,61.85,7.602,-7.292,3.5,4.15,0.866,0.881,-0.115,15,16,3,0
1.9,0.1136,1.436,292.0,1.159,0.0343,29.88,-1.826,-5.381,-4.04,-6.26,0.617,0.03,-1.363,15,14,1,1
1.544,0.1615,1.656,236.5,1.044,0.0197,62.41,4.608,-2.678,1.4,2.35,0.459,0.838,0.089,15,9,2,0
1.578,0.1048,1.16,259.8,1.115,0.0983,57.06,4.314,-5.344,0.8,1.89,0.694,0.749,-0.269,15,10,2,0
0.949,-0.011,0.982,283.8,1.164,0.128,47.87,2.298,-1.048,0.26,1.3,0.109,0.814,-0.208,15,11,2,0
0.608,0.0058,0.84,264.9,1.104,0.0945,63.2,3.417,12.151,-0.06,-1.09,0.699,0.26,2.031,15,10,3,1
0.301,0.1174,1.72,180.4,0.951,-0.0316,47.76,-5.688,-6.281,0.57,0.68,0.58,0.137,-0.743,15,8,4,1
2.041,0.1342,1.192,360.5,1.375,0.2888,34.47,-10.841,-6.692,-1.25,-2.0,0.577,0.288,-1.284,15,16,4,0
2.251,0.1441,1.357,248.1,1.083,0.1551,65.61,10.338,5.514,1.09,1.69,0.565,0.707,1.298,15,15,0,0
0.171,0.1046,1.261,143.2,0.966,0.0097,39.69,-4.377,7.403,-0.44,-0.25,0.517,0.599,0.161,15,7,1,0
2.654,0.2137,1.473,235.4,1.183,0.1545,51.75,9.334,2.814,0.2,0.32,0.548,0.756,0.119,15,15,1,1
1.666,0.0955,1.119,259.3,1.238,0.3378,50.49,8.448,12.541,-1.0,-1.44,0.62,0.651,0.903,15,10,2,1
0.391,-0.0318,0.957,298.8,1.078,0.0479,44.52,3.977,-8.608,0.1,0.14,0.155,0.812,-1.486,15,14,2,1
1.505,0.0038,1.068,194.5,1.02,0.0726,63.27,7.321,6.106,0.4,0.04,0.73,0.914,1.172,15,11,3,0
1.09,0.001,0.937,270.1,1.299,0.231,50.6,-2.924,-25.952,1.34,1.81,0.397,0.084,-1.951,15,16,3,1
3.045,0.2973,1.62,248.2,1.339,0.4008,45.19,-12.098,-7.783,0.5,0.72,0.854,0.144,-0.645,15,15,4,0
1.657,0.0097,1.028,287.9,1.444,0.3635,55.4,10.212,-15.283,0.98,1.4,0.269,0.369,-1.139,15,16,4,1
1.08,0.1849,1.651,215.7,1.024,-0.0118,54.4,10.662,8.897,0.74,1.49,0.876,1.0,0.96,15,8,0,1
1.428,0.0971,1.323,262.0,1.026,-0.0125,68.22,4.354,7.558,3.92,5.77,0.683,0.686,1.679,15,14,0,1
0.632,-0.0033,0.848,178.6,0.962,0.0495,58.32,6.984,-3.445,1.45,2.76,0.636,0.891,-0.252,15,9,1,0
0.899,0.0363,1.042,210.1,1.135,0.0877,41.93,0.012,-8.835,0.3,1.23,0.383,0.926,-1.366,15,11,1,0
3.227,0.1389,1.439,257.5,1.207,0.2567,61.86,12.008,10.257,2.06,1.85,0.548,0.682,1.615,15,15,1,0
0.561,-0.0479,0.891,217.2,1.162,0.0955,51.25,-6.477,7.635,-0.53,-0.85,0.25,0.603,0.847,15,11,3,1
2.533,0.1913,1.37,254.5,1.109,0.0268,64.98,6.631,10.171,0.06,-0.86,0.466,0.523,1.69,15,15,3,1
1.967,0.0586,1.207,390.6,1.478,0.3518,31.32,-22.213,-11.888,-1.11,-1.67,0.766,0.147,-2.302,15,16,3,0
0.386,0.0527,1.23,184.2,0.885,-0.0374,47.27,-3.43,-18.054,2.27,4.5,0.117,0.398,-2.312,15,14,0,1
0.758,-0.0828,0.865,210.9,1.233,0.239,60.23,-1.85,19.012,-0.74,-1.88,0.751,0.907,2.746,15,11,1,1
3.15,0.2432,1.533,290.4,1.308,0.3306,32.03,-26.755,-23.457,-1.08,-1.31,0.84,0.004,-3.075,15,15,1,1
2.186,0.0792,1.445,253.0,1.035,0.0124,58.21,1.789,18.24,-1.64,-4.09,0.01,0.366,2.558,15,12,2,0
0.006,0.0386,0.886,261.3,1.057,0.0281,65.25,7.035,8.801,-0.59,-2.66,0.411,0.0,1.791,15,13,2,1
1.482,0.1382,1.118,167.2,1.016,0.0997,44.31,0.428,10.317,-0.26,-0.63,0.544,0.218,0.849,15,9,3,1
1.446,0.0234,1.009,334.2,1.242,0.0778,54.23,2.735,17.012,-1.65,-3.05,0.332,0.448,2.194,15,16,3,1
2.113,0.0591,1.164,353.1,1.233,0.1622,35.36,0.47,1.312,-2.33,-4.06,0.756,0.194,-0.81,15,16,4,0
