body_ratio,close_pos,is_bullish,gap_from_prev,consec_candles,atr_pts,atr_ratio,atr_5bar_roc,atr_regime,rsi,rsi_vs_50,rsi_3bar_slope,rsi_5bar_slope,rsi_10bar_slope,rsi_overbought,rsi_oversold,vol_z,vol_ratio,vol_slope_5bar,vol_vs_mean20,stoch_k,stoch_d,stoch_kd_spread,stoch_overbought,stoch_oversold,h1_ema_slope3,h1_ema_slope5,h1_price_vs_ema,h1_rsi,macd_line,macd_hist,macd_hist_slope,bb_width,bb_pct_b,bb_squeeze,adx,di_plus,di_minus,di_spread,h4_slope5,h4_slope10,h4_vs_ema20,price_mom_3bar,price_mom_5bar,price_mom_10bar,hour,day_of_week,is_london,is_ny,session_age_bars,spread_pts,spread_atr_ratio,direction,dir_binary,entry,sl,tp,lot,trade_id,open_time,sl_pts,tp_pts,pnl,win,outcome
0.4520123839009375,0.6408668730650625,1.0,0.01947961954042663,0.0,205.34281943993219,1.3514388462111278,0.5129738898562326,1.0,54.32782469469506,4.32782469469506,-5.3059839476751165,-12.620566805489922,-7.83048490017589,0.0,0.0,1.6439617216205666,1.0435722601026762,0.04465325128885549,0.8328526050598175,11.154012728749615,5.663124785659833,5.490887943089782,0.0,1.0,0.6208997278379229,1.1291972803858243,1.0587382519170798,54.313916323757965,0.45996081142866585,-0.14522971811818278,0.0007796327239495876,0.0024511456316360734,0.5014710897842442,1.0,18.157554579606238,19.675331348298208,13.62822070677004,6.0471106415281675,4.392654206370191,6.121470440584605,3.7882403138424334,-0.3360234370725808,-0.8035343060432628,0.0,16.0,2.0,0.0,1.0,16.0,14.0,0.06817866842442555,LONG,1.0,1802.63,1799.5500000000002,1808.7900000000002,0.03,0,2022-02-02 16:00:00+00:00,308.0,616.0,18.48,1,TP
0.854961832061021,0.9618320610687354,1.0,-0.021145890476849297,0.0,94.58102509673022,0.9083885184453308,-0.016056302479641307,0.0,49.44533658524661,-0.5546634147533922,1.8266475087128526,-0.38759721079581766,-1.494004106847683,0.0,0.0,0.11067484174928267,1.1385927505306213,0.026226012793121013,0.027219390208661647,32.60020110379736,18.955603699274956,13.644597404522404,0.0,0.0,0.2966780873555308,0.7145940223224443,0.8843397155418417,54.2194006635003,-0.22363087380453114,-0.05562296108179986,0.04632262679464948,0.0015174810772117353,0.47848151565579433,1.0,1.2817410685730648,19.770335617206065,20.28372496128453,-0.5133893440784654,4.863554809679666,2.6643822000854156,3.220320785906582,0.10572945238424648,-0.253750685722432,-0.5603660976369872,7.0,3.0,1.0,0.0,3.0,15.0,0.1585941787425179,LONG,1.0,1806.77,1805.36,1809.59,0.07,1,2022-02-03 07:45:00+00:00,141.0,282.0,-9.87,0,SL
0.8999999999999052,0.008333333333325438,0.0,0.0083323131685215,0.0,120.01469207179365,1.1610056083748197,0.06826567710265558,0.0,45.46838466554921,-4.531615334450791,-2.5396067296316502,9.365232535148458,6.87252161991951,0.0,0.0,0.16350674210316485,0.8223889931198433,-0.10475297060652003,0.05650776647019756,78.03255042818293,79.19737469425611,-1.1648242660731825,0.0,0.0,-0.3984599779810196,-0.3717095881702335,-1.7446438016109733,43.65911854306137,-0.5454977874861678,0.09875984280321613,-0.002914324512554352,0.0023049444373737416,0.3579575038082514,1.0,50.83117764773634,9.900913871853932,30.37222426098266,-20.471310389128725,1.8747704629190427,0.5749296086285519,-0.09820803199743795,-0.5416003559544659,0.8248990036843864,-0.26663402139287745,11.0,3.0,1.0,0.0,18.0,15.0,0.12498469763103594,SHORT,0.0,1804.54,1806.34,1800.94,0.06,2,2022-02-03 11:30:00+00:00,180.0,360.0,21.6,1,TP
0.5054545454544992,0.06181818181820828,0.0,0.04023282606323062,0.0,198.84260636815566,1.3613520464665432,0.18983296757559182,1.0,45.099784574713304,-4.900215425286696,-5.800466894351366,2.4345538766149275,-3.448990128713895,0.0,0.0,1.169380928152313,0.9720342805590012,0.09159739673945096,0.7111905167031303,72.77070867057951,74.99083073151233,-2.220122060932823,0.0,0.0,-1.7911573374456111,-2.1101285642932908,-6.021697530716072,23.72698590769801,-0.23270916701351263,0.03463085279945264,-0.01750690262473115,0.0021835600390361564,0.3211752227329092,1.0,6.76028210344732,12.86077236641148,11.232030898975172,1.628741467436308,-1.3930616024406182,1.8356226891364982,0.4311616884733513,-0.764423695202068,0.02514551628951914,-0.9907333418079689,16.0,3.0,0.0,1.0,17.0,15.0,0.07543654890618448,SHORT,0.0,1802.23,1805.21,1796.27,0.03,3,2022-02-03 16:15:00+00:00,298.0,596.0,17.88,1,TP
0.34374999999975575,0.49999999999964473,1.0,-0.022614097812857042,0.0,88.44040625842209,0.867527493651202,-0.04277258124736764,0.0,51.66085962856392,1.6608596285639194,-0.6983728500904149,-12.271003161729524,-1.629921022309098,0.0,0.0,-0.33924869755508136,0.8543365455877421,-0.029466271312028464,-0.07781556311246682,10.500047057236365,10.089923030854713,0.41012402638165213,0.0,1.0,0.4383285519090805,0.8336167092138567,1.4435248666252694,53.94056538760527,0.322815861255982,-0.09171455933726125,-0.01785057516862155,0.0009302201554518522,0.3952799546579746,1.0,10.985066204447083,19.165133670151075,15.371285193251321,3.793848476899754,3.6069486011537837,6.151034605102515,3.246733735617892,-0.03392114671928557,-1.503837504556536,0.2713691737545416,7.0,4.0,1.0,0.0,3.0,15.0,0.16960573378643837,LONG,1.0,1806.57,1805.25,1809.21,0.08,4,2022-02-04 07:45:00+00:00,132.0,264.0,21.12,1,TP
0.5606060606063633,0.21212121212106597,0.0,0.025765872876391798,0.0,116.4330823105729,1.153676999504317,0.02899404722216308,0.0,62.2947951438094,12.294795143809402,3.4091804150654,-1.6295087533963368,1.5756125966074919,0.0,0.0,0.18291574290084262,0.9326060179474464,-0.050765440788271415,0.0744513709390559,73.80661590672572,72.49169996718493,1.3149159395407963,0.0,0.0,0.942058788330769,1.2427924741309653,3.9234999832210335,63.98952838770116,0.5930515021278122,0.24391913947634528,-0.01972598963355954,0.002831005385067349,0.8824193586567446,1.0,16.138922141758272,23.11342378798477,16.689638547468988,6.423785240515784,7.360451018362563,0.7729761862925351,5.042324398168879,0.8416851806295799,0.6870899433710338,1.5545409968770054,11.0,4.0,1.0,0.0,18.0,15.0,0.12882936449161642,LONG,1.0,1809.59,1807.85,1813.07,0.06,5,2022-02-04 11:30:00+00:00,174.0,348.0,20.88,1,TP
0.7304347826086389,0.1869565217391618,0.0,0.0025491779058772882,1.0,392.2833308097526,1.5400461566070276,0.013031248697286921,1.0,45.186934833755025,-4.813065166244975,-2.7993992666305942,-3.241428977417378,-17.218137858376267,0.0,0.0,0.2744944028518177,0.8900969347652312,-0.05848834162953284,0.1496975593248384,58.038090363197405,58.976183235255725,-0.9380928720583199,0.0,0.0,-1.6302595693844069,-0.9208131820998915,-0.5732753422836877,46.99894453097166,-0.37284266028816915,-0.027530941767982032,-0.006016485877508172,0.011541513719648747,0.33982304404690233,1.0,4.039249952665766,20.30527410773187,22.01468295332935,-1.7094088455974799,0.4078684649407719,-0.568466673011099,0.4673944621884167,-0.5021880474582315,-0.6500403659992882,-2.3248502501621737,17.0,4.0,0.0,1.0,23.0,15.0,0.03823766859784409,SHORT,0.0,1803.89,1809.7700000000002,1792.13,0.02,6,2022-02-04 17:45:00+00:00,588.0,1176.0,-11.76,0,SL
0.5806451612906302,0.24193548387079028,0.0,0.0,0.0,125.65521344758758,0.7258722078247963,-0.14111360095873743,0.0,52.750672546557965,2.750672546557965,1.6835566649186404,-1.1229877220774824,-1.5817064569858204,0.0,0.0,-0.2051109265551788,1.22724603640454,0.1962712859656543,-0.1370322580643747,54.49818200259913,45.069045104225324,9.429136898373805,0.0,0.0,0.5735494673390349,1.0053276131618532,1.3756686785073775,54.83921793901108,0.14504769851491708,-0.05541629690030407,0.009629378223511927,0.001102556777822758,0.5536106081106494,1.0,19.041528035365886,14.627201401653338,21.507871424667517,-6.880670023014179,-0.509330239415591,6.310919997757691,3.919467353005226,0.2467068347168449,-0.03183313996344051,-0.06366627992706198,7.0,0.0,1.0,0.0,3.0,15.0,0.11937427495706192,LONG,1.0,1810.33,1808.4499999999998,1814.09,0.06,7,2022-02-07 07:45:00+00:00,188.0,376.0,22.56,1,TP
0.06249999999993656,0.4196428571428372,1.0,0.0,1.0,142.0129399063673,1.0604250678037601,0.1771695892717084,0.0,62.72681480695496,12.726814806954962,4.98780514576022,5.094922879023962,14.120877098536972,0.0,0.0,1.2660816006228652,0.9736105557770401,0.043116086898545146,0.5632356088160033,63.49703690052447,60.640762980768265,2.8562739197562053,0.0,0.0,0.8787232260531255,1.2796870854849658,2.4996850212899466,59.46214363038063,0.4524200378025977,0.18297460858937764,0.02081883641067212,0.0024404061669152954,0.9923946666957275,1.0,16.53914363035453,29.03879546425967,20.79646942542216,8.242326038837511,11.963698518767545,5.893829111364669,4.640792369107718,0.9013263157164287,1.330864638049978,2.2885238484987935,10.0,0.0,1.0,0.0,15.0,11.0,0.07745773031087955,LONG,1.0,1813.03,1810.8999999999999,1817.29,0.05,8,2022-02-07 10:45:00+00:00,213.0,426.0,-10.65,0,SL
0.8316326530611488,0.8469387755102301,1.0,0.0,0.0,146.28331545023818,1.0689271120379116,0.006218072983489026,0.0,54.22468921748977,4.224689217489768,1.380223553630799,-3.302488584099166,-8.214481257920653,0.0,0.0,-0.4275930390081241,1.0143644234543345,-0.03551751279020519,-0.1036731145402272,15.656911703186472,11.570498984409264,4.086412718777208,0.0,1.0,0.699188274214066,1.4837591749637795,2.338399223829284,58.9247705177189,0.16590823399477456,-0.06377256496568015,0.03498877020350763,0.0022670317237509278,0.6361210284231604,1.0,1.3194645367254845,20.210642867473567,20.751118786124,-0.5404759186504329,5.168053493703873,6.261821428879396,4.691608153008571,0.23242568622472307,-0.26660593419907963,-0.6425886619156028,13.0,0.0,0.0,1.0,4.0,15.0,0.10254074399209304,LONG,1.0,1812.02,1809.83,1816.4,0.05,9,2022-02-07 13:00:00+00:00,219.0,438.0,21.9,1,TP
