feature,importance,importance_pct,cumulative_pct,rank,perm_importance,perm_std,perm_pct,perm_cumsum
h1_ema_slope3,0.03334903980383634,3.334903980383635,32.378831616337685,1,0.01845637583892621,0.01053178176273506,17.027863619990512,17.027863619990512
price_mom_3bar,0.04447067607432709,4.447067607432709,14.694969253595096,2,0.009395973154362459,0.01323696840491008,8.668730570177011,25.696594190167524
h1_ema_slope5,0.036451171311167284,3.645117131116729,22.052293143888264,3,0.009395973154362459,0.009226662473065448,8.668730570177011,34.365324760344535
vol_vs_mean20,0.03712206759176438,3.7122067591764387,18.407176012771533,4,0.009395973154362447,0.010696226476851829,8.668730570176999,43.03405533052153
price_mom_10bar,0.01792144465613927,1.7921444656139274,87.51761111700725,5,0.008724832214765143,0.004297398817069055,8.049535529450084,51.083590859971615
atr_pts,0.014514552131096264,1.4514552131096266,93.80709109408431,6,0.008389261744966492,0.0037517919085567064,7.739938009086626,58.823528869058244
close_pos,0.023291189296473242,2.3291189296473247,54.01409179621476,7,0.006040268456375874,0.005574915344240336,5.5727553665423715,64.39628423560062
bb_width,0.022860590148892863,2.2860590148892865,56.30015081110405,8,0.005704697986577223,0.00849596570548466,5.263157846178914,69.65944208177953
is_london,0.0027666234078701783,0.2766623407870179,99.05827453404825,9,0.005369127516778538,0.002684563758389255,4.953560325815426,74.61300240759496
atr_5bar_roc,0.023854562386027407,2.385456238602741,49.31206564380528,10,0.004362416107382572,0.004257911926325338,4.024767764725042,78.63777017232
hour,0.016746662310892956,1.674666231089296,89.19227734809654,11,0.003355704697986628,0.006711409395973172,3.09597520363468,81.73374537595468
vol_slope_5bar,0.020289172587737984,2.0289172587737987,66.65657862228183,12,0.0033557046979865945,0.0051986353640368155,3.095975203634649,84.82972057958933
di_spread,0.019684207182680755,1.9684207182680757,74.61614817318326,13,0.003020134228187976,0.007862667458966436,2.7863776832712217,87.61609826286056
stoch_oversold,0.0006424487065796405,0.06424487065796405,99.87944311953586,14,0.0026845637583893024,0.0013422818791946512,2.476780162907744,90.0928784257683
rsi_3bar_slope,0.02979823185668461,2.979823185668461,38.57097630851696,15,0.0023489932885906394,0.008495965705484696,2.1671826425442755,92.26006106831258
vol_z,0.03212321506510816,3.2123215065108166,35.5911531228485,16,0.0023489932885906286,0.00937797893455175,2.1671826425442653,94.42724371085684
macd_line,0.020431704133016978,2.043170413301698,62.588970612214794,17,0.0013422818791946622,0.007969357105394573,1.2383900814538822,95.66563379231073
gap_from_prev,0.018337300879328892,1.8337300879328895,82.07591099395411,18,0.0013422818791946512,0.005022358908421392,1.238390081453872,96.9040238737646
h4_slope10,0.02038690751293224,2.0386907512932244,64.62766136350803,19,0.0010067114093960106,0.0033724414835976254,0.9287925610904243,97.83281643485502
day_of_week,0.010876971884865038,1.0876971884865039,98.78161219326124,20,0.0010067114093960106,0.006012239217170778,0.9287925610904243,98.76160899594544
rsi_10bar_slope,0.012688466182604462,1.2688466182604463,96.51455691884614,21,0.0006711409395973478,0.003287905695010966,0.6191950407269564,99.38080403667239
rsi_vs_50,0.02890815900388382,2.8908159003883824,44.37528534150861,22,0.00033557046979868497,0.010764439551909687,0.3095975203634884,99.69040155703587
di_minus,0.018237608976209286,1.823760897620929,85.72546665139332,23,0.0003355704697986739,0.005503764921763995,0.3095975203634782,99.99999907739935
consec_candles,0.002205129764577307,0.22051297645773074,99.51669444339277,24,3.3306690738754695e-17,0.003355704697986583,3.072877321540892e-14,99.99999907739938
rsi_overbought,0.0004072843335191425,0.040728433351914256,99.963006159376,25,0.0,0.0,0.0,99.99999907739938
atr_regime,0.0009001120809657222,0.09001120809657223,99.8151982488779,26,0.0,0.0,0.0,99.99999907739938
rsi_oversold,0.00042834606488213116,0.04283460648821312,99.92227772602408,27,0.0,0.0,0.0,99.99999907739938
spread_pts,0.0,0.0,100.00000000000001,28,0.0,0.0,0.0,99.99999907739938
bb_squeeze,0.0,0.0,100.00000000000001,29,0.0,0.0,0.0,99.99999907739938
stoch_d,0.019982783236844447,1.998278323684445,70.66036671927378,30,-0.0003355704697986184,0.005503764921763999,0.0,99.99999907739938
vol_ratio,0.023729072227621544,2.3729072227621546,51.684972866567435,31,-0.00033557046979862946,0.00550376492176402,0.0,99.99999907739938
is_ny,0.0020849259738856558,0.20849259738856563,99.72518704078134,32,-0.00033557046979862946,0.003165765480555912,0.0,99.99999907739938
spread_atr_ratio,0.014386192065013894,1.4386192065013896,95.2457103005857,33,-0.0013422818791946067,0.005452374768212038,0.0,99.99999907739938
h1_rsi,0.01635588695513958,1.6355886955139582,90.8278660436105,34,-0.0016778523489932584,0.005033557046979871,0.0,99.99999907739938
macd_hist,0.02063908729911692,2.063908729911692,60.5458001989131,35,-0.0016778523489932805,0.006232944839263992,0.0,99.99999907739938
rsi,0.02551324063693934,2.5513240636939343,46.92660940520254,36,-0.00201342281879191,0.007826781066906431,0.0,99.99999907739938
stoch_overbought,0.0003699384062402595,0.036993840624025956,100.00000000000001,37,-0.0023489932885905618,0.0015377770788442139,0.0,99.99999907739938
price_mom_5bar,0.015277698373641874,1.5277698373641875,92.35563588097469,38,-0.0026845637583892247,0.00667776803427261,0.0,99.99999907739938
session_age_bars,0.011793580859285915,1.1793580859285917,97.69391500477474,39,-0.0026845637583892247,0.005155131374408458,0.0,99.99999907739938
adx,0.018257947598182733,1.8257947598182735,83.90170575377239,40,-0.0030201342281878873,0.004362416107382551,0.0,99.99999907739938
di_plus,0.020055097733075154,2.005509773307516,68.66208839558934,41,-0.004026845637583864,0.008594797634138045,0.0,99.99999907739938
is_bullish,0.0023790693288678233,0.23790693288678239,99.29618146693504,42,-0.004362416107382516,0.003020134228187912,0.0,99.99999907739938
stoch_kd_spread,0.029134931326032624,2.913493132603263,41.484469441120225,43,-0.004362416107382527,0.009134669522695437,0.0,99.99999907739938
macd_hist_slope,0.018680075481987562,1.8680075481987566,78.39263952936734,44,-0.004697986577181179,0.004792904985599212,0.0,99.99999907739938
body_ratio,0.03507567483704076,3.5075674837040762,25.55986062759234,45,-0.005033557046979842,0.009638527930432938,0.0,99.99999907739938
atr_ratio,0.021817406578973554,2.1817406578973557,58.481891469001404,46,-0.005704697986577145,0.003691275167785217,0.0,99.99999907739938
stoch_k,0.01849541376653867,1.8495413766538675,80.24218090602122,47,-0.008389261744966403,0.004040803549930292,0.0,99.99999907739938
h4_vs_ema20,0.045336322184499775,4.533632218449978,10.247901646162386,48,-0.010402684563758336,0.008679541715689628,0.0,99.99999907739938
rsi_5bar_slope,0.019873607356414084,1.9873607356414087,72.64772745491518,49,-0.01073825503355701,0.006844321494755403,0.0,99.99999907739938
bb_pct_b,0.01908483807985322,1.9084838079853224,76.52463198116858,50,-0.011409395973154301,0.009275352322875989,0.0,99.99999907739938
h1_price_vs_ema,0.0348406700836171,3.4840670083617105,29.04392763595405,51,-0.013087248322147605,0.007718120805369118,0.0,99.99999907739938
h4_slope5,0.05714269427712408,5.714269427712408,5.714269427712408,52,-0.022818791946308658,0.014141817117923148,0.0,99.99999907739938
